Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-01,156.76650758945306,159.97801618220277,156.31839423992702,159.71661376953125,20279389,0.0,0.0
2021-01-04,159.8286523102674,161.3223753781856,158.40962072155173,159.3805389404297,27927482,0.0,0.0
2021-01-05,158.67098531544474,159.26846966610836,157.28928204306982,157.9241180419922,18718244,0.0,0.0
2021-01-06,157.92416065117507,157.9615004743854,152.733463655021,153.4056396484375,50957586,0.0,0.0
2021-01-07,153.92842857889752,155.04871784024158,150.9409708234384,151.46377563476562,36298522,0.0,0.0
2021-01-08,152.62140249657696,153.85372293760332,149.55926538440232,150.4928436279297,58600546,0.0,0.0
2021-01-11,152.36002014038917,153.92843463608904,150.30615246872895,151.23973083496094,44625924,0.0,0.0
2021-01-12,151.61315029710536,154.52591664694873,150.56755248509452,154.18983459472656,36989137,0.0,0.0
2021-01-13,154.93669350306484,159.08179236043472,153.2935993566258,157.7747802734375,66387977,0.0,0.0
2021-01-14,158.33491955718802,161.69579921320437,158.03617732890325,159.940673828125,50164605,0.0,0.0
2021-01-15,160.50083550713518,163.18955135256485,157.7374518493937,162.70408630371094,60567280,0.0,0.0
2021-01-18,163.1148532882028,165.803557190015,160.27677826241498,164.1231231689453,70211602,0.0,0.0
2021-01-19,165.05669387124652,165.579486863213,162.44266973578746,163.450927734375,33009228,0.0,0.0
2021-01-20,163.18953888916093,163.56296076808513,161.09831955858323,162.55470275878906,46392916,0.0,0.0
2021-01-21,163.56293201620005,163.93636566460572,158.4842675362283,159.6045684814453,30116008,0.0,0.0
2021-01-22,159.82865500015055,160.38879968065626,156.20637265307076,157.364013671875,25663922,0.0,0.0
2021-01-25,158.33491848064696,158.70835218102644,154.48857385347588,155.19808959960938,25929487,0.0,0.0
2021-01-27,155.34748388651823,158.82039506679413,154.67530791082373,157.32666015625,50338134,0.0,0.0
2021-01-28,156.2810526062683,157.58805281933553,153.66702850988355,154.30186462402344,22984352,0.0,0.0
2021-01-29,155.75827284144776,155.94498380616923,151.12772019805917,151.79989624023438,24679902,0.0,0.0
2021-02-01,152.3600094208445,162.77874183475117,150.71691539911896,161.28501892089844,59968324,0.0,0.0
2021-02-02,164.30985197496153,166.923876516483,162.06926120153273,162.9654998779297,50324035,0.0,0.0
2021-02-03,165.43009759290743,165.80353126201257,161.09830016963517,161.88250732421875,55709225,0.0,0.0
2021-02-04,161.39705127991013,172.8240535415729,161.32235980791654,171.74110412597656,109894300,0.0,0.0
2021-02-05,173.38420388673765,178.38818945700945,169.72458201089154,175.0272979736328,130323308,0.0,0.0
2021-02-08,177.3799350352519,177.79070859261626,172.8987657271518,174.09373474121094,43093963,0.0,0.0
2021-02-09,175.2140243052343,178.64959549781003,170.4341012260203,171.03158569335938,73377134,0.0,0.0
2021-02-10,171.0315576945488,172.59997191724383,166.62506904635092,169.9486083984375,49104142,0.0,0.0
2021-02-11,171.0315715716119,171.2556341459263,167.67069213251756,169.1270751953125,45311749,0.0,0.0
2021-02-12,168.60428926051785,168.60428926051785,161.17300201128708,162.40533447265625,114826417,0.0,0.0
2021-02-15,163.15218989185317,165.05669831400414,162.44267410818455,163.26422119140625,33000365,0.0,0.0
2021-02-16,163.60031921026544,165.65418697004534,162.25596725202294,163.00282287597656,30271502,0.0,0.0
2021-02-17,162.51734797688835,163.11484427490046,161.73315257813064,162.62937927246094,20615018,0.0,0.0
2021-02-18,162.96547456287928,164.75793980210452,162.74141196980412,163.450927734375,24997592,0.0,0.0
2021-02-19,163.45091773774112,163.4882693910528,159.82863582523277,161.28501892089844,29208388,0.0,0.0
2021-02-22,162.2359345993568,162.2359345993568,157.64434765495668,158.4478759765625,53531490,5.0,0.0
2021-02-23,159.17488822777668,161.12630726511745,158.40961967794462,159.55751037597656,27703323,0.0,0.0
2021-02-24,160.01667109491564,160.55235663684053,158.0269802068067,159.82534790039062,13667471,0.0,0.0
2021-02-25,160.3227438442075,161.62369766890586,159.78705840188624,160.05490112304688,26953713,0.0,0.0
2021-02-26,158.60095036892537,159.1749079156486,155.3485768199369,155.99905395507812,45101885,0.0,0.0
2021-03-01,157.22343807313032,158.98354582377254,156.15206708345988,158.33306884765625,16850430,0.0,0.0
2021-03-02,158.40961399492852,161.31761255187553,158.02697973373967,160.62887573242188,26590262,0.0,0.0
2021-03-03,162.2359140457144,162.2359140457144,159.78706960250685,160.66712951660156,21648963,0.0,0.0
2021-03-04,159.78707804122968,161.70023710560426,158.8687582948497,160.47581481933594,25858155,0.0,0.0
2021-03-05,159.17487014358213,160.70539494264392,158.56265294792854,159.59576416015625,17990773,0.0,0.0
2021-03-08,160.47580752137623,161.31759553114463,158.94528276482325,159.17486572265625,23874105,0.0,0.0
2021-03-09,159.71055689195745,160.51408520727452,156.68776682579283,159.02182006835938,23463213,0.0,0.0
2021-03-10,160.0166683935823,160.09318796872793,157.49129200618083,158.0269775390625,20358192,0.0,0.0
2021-03-12,159.17487709809967,159.17487709809967,155.73118099135843,157.03213500976562,31973696,0.0,0.0
2021-03-15,157.52954910017226,157.64432845209234,154.27717642129102,157.2234344482422,42699297,0.0,0.0
2021-03-16,157.95044310359938,159.8636020762639,156.8408002279453,159.06007385253906,50641203,0.0,0.0
2021-03-17,162.38898843603275,163.68994253721434,159.59578128749007,161.16456604003906,81604999,0.0,0.0
2021-03-18,163.00117165604388,167.66927727627873,162.15937158164385,166.5596466064453,95536034,0.0,0.0
2021-03-19,167.59276495414815,173.06439937312763,164.95260933554087,170.6155548095703,139352860,0.0,0.0
2021-03-22,170.8834081557618,173.25573329504596,169.50593451921034,172.9496307373047,47823778,0.0,0.0
2021-03-23,172.18433730661786,174.55664997598785,169.35285874034702,170.04159545898438,43165463,0.0,0.0
2021-03-24,169.12331843218487,170.50079211798618,164.7230424687859,165.25872802734375,28672557,0.0,0.0
2021-03-25,164.6464967207125,165.25870176077854,159.97839084670926,161.9298095703125,42248040,0.0,0.0
2021-03-26,163.9577705774553,164.11082184735753,160.97324049757452,161.39413452148438,27083832,0.0,0.0
2021-03-30,163.19249289174041,164.53170658620238,161.01149119696362,164.1873321533203,28862387,0.0,0.0
2021-03-31,163.80473487434085,167.82236443954616,162.7716235459279,167.2101593017578,37890481,0.0,0.0
2021-04-01,168.3580109713894,168.81716471829418,166.29180092024785,168.39627075195312,30182056,0.0,0.0
2021-04-05,166.52139244074635,168.35803191021654,161.08802998312458,162.6568145751953,32586507,0.0,0.0
2021-04-06,163.61336983576527,164.4934296546889,160.8201633871105,162.7333221435547,26663018,0.0,0.0
2021-04-07,162.77160005519087,164.6847590247519,162.58028900892052,163.61338806152344,15790468,0.0,0.0
2021-04-08,164.4169118163406,165.37349127512854,162.88638710762268,163.19248962402344,14660557,0.0,0.0
2021-04-09,163.57513874222084,165.25871486259157,162.65681898260263,163.0777130126953,16994483,0.0,0.0
2021-04-12,160.7053740758331,161.47063031264182,156.87905651164994,157.10862731933594,35840817,0.0,0.0
2021-04-13,158.4095989589841,160.4758092212242,157.64433050924424,159.71054077148438,21027436,0.0,0.0
2021-04-15,159.9401310064459,161.0497618203388,157.64433767951934,158.18002319335938,18205903,0.0,0.0
2021-04-16,159.17488385361776,160.13146345126276,158.02698106041427,159.13661193847656,13824608,0.0,0.0
2021-04-19,156.8790725293934,157.72086053918824,155.92249304067846,157.33822631835938,16400507,0.0,0.0
2021-04-20,157.79739345725733,158.40961068772106,154.96592666234852,155.7694549560547,22187707,0.0,0.0
2021-04-22,154.58329506847798,157.87392787452288,153.47366420380845,157.5678253173828,24030915,0.0,0.0
2021-04-23,156.30515398495675,158.40962436924457,156.30515398495675,157.14694213867188,20381213,0.0,0.0
2021-04-26,157.49126150109691,158.2182700844567,156.64947357725072,157.10862731933594,20652091,0.0,0.0
2021-04-27,157.10864896648013,158.3713431529424,156.91733791259657,157.1851806640625,11885588,0.0,0.0
