Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-01,897.2726941006515,901.3347986266252,894.5646443140231,897.0470581054688,10015175,0.0,0.0
2021-01-04,900.4773476672782,902.1924201612024,888.2459057329365,898.5591430664062,24513534,0.0,0.0
2021-01-05,888.6971735420237,895.286819208082,882.8296824610696,887.3883056640625,24123091,0.0,0.0
2021-01-06,887.297983512097,887.3431107117481,859.8788522034279,863.986083984375,46401468,0.0,0.0
2021-01-07,866.8069025676972,877.8648566159659,859.878803357666,862.5868530273438,32325918,0.0,0.0
2021-01-08,865.678604878862,874.8860460383853,863.0156822176616,872.7647094726562,27540187,0.0,0.0
2021-01-11,875.0665690475399,875.0665690475399,854.1693322211945,856.313232421875,33307825,0.0,0.0
2021-01-12,858.9085175986027,884.635142526268,857.5093355120424,883.3037109375,41161546,0.0,0.0
2021-01-13,886.2373626282811,891.3826993524976,865.8817711258671,875.0665893554688,26619458,0.0,0.0
2021-01-14,877.8648459446861,887.7493136723414,875.1793599061967,884.9058227539062,21553242,0.0,0.0
2021-01-15,884.9058936036437,890.8636390967538,866.6038890308039,874.457275390625,20593268,0.0,0.0
2021-01-18,879.7154868801754,901.3348792931557,868.0933816341949,895.44482421875,35100458,0.0,0.0
2021-01-19,900.2741041573885,916.6804669801634,900.2741041573885,910.0908813476562,32006615,0.0,0.0
2021-01-20,912.3476953021599,928.866877855919,903.3207625071458,927.37744140625,30924537,0.0,0.0
2021-01-21,939.6990432246472,956.8501242760648,936.5396618324675,947.5524291992188,39087742,0.0,0.0
2021-01-22,952.7880171566991,954.7514084138397,918.5535459475058,925.0755004882812,30532660,0.0,0.0
2021-01-25,918.4633177239738,918.4633177239738,871.9974047459384,876.0595092773438,54207104,0.0,0.0
2021-01-27,868.8380990078514,868.8380990078514,852.1383477435087,855.2977294921875,42370131,0.0,0.0
2021-01-28,848.5951547796549,868.0707040284875,844.0140279643443,846.9703369140625,34067814,0.0,0.0
2021-01-29,854.9817319108826,863.4670185270817,825.9602859922227,831.3538818359375,43712383,0.0,0.0
2021-02-01,839.2298742462161,859.8111617886597,834.0845374375884,855.4331665039062,34180952,0.0,0.0
2021-02-02,863.9860695183817,875.6081736879117,837.2213427448476,869.1990966796875,41470034,0.0,0.0
2021-02-03,870.3275152709535,881.0243335187519,857.554427887479,871.38818359375,30301696,0.0,0.0
2021-02-04,868.3865924082124,875.6081377765653,859.8110520523379,868.5220336914062,25626981,0.0,0.0
2021-02-05,871.1173559922115,877.7070019033696,866.5813559125976,868.2738647460938,20248046,0.0,0.0
2021-02-08,872.4713450669083,888.6972004305863,870.6660182415897,880.776123046875,21183400,0.0,0.0
2021-02-09,885.5152551213864,897.9948961529354,881.1597638793062,882.8973999023438,19604141,0.0,0.0
2021-02-10,881.8142219915239,895.8058629486737,869.8761074541144,891.0892944335938,21234156,0.0,0.0
2021-02-11,893.6619528050209,931.6652040177879,890.1640575276463,927.8287353515625,42539278,0.0,0.0
2021-02-12,927.7384783498696,937.8937101488065,909.6395460369704,921.4647827148438,30497029,0.0,0.0
2021-02-15,924.3759353313053,930.3562442810988,913.9724445678881,917.4026489257812,15791099,0.0,0.0
2021-02-16,920.6298293819443,938.5256299749142,918.4859291608079,929.5438842773438,21421660,0.0,0.0
2021-02-17,929.7694401272191,945.9952940995148,925.5268269442237,940.2632446289062,23742994,0.0,0.0
2021-02-18,941.0531936529034,951.6146304224952,929.3633380518262,933.2449340820312,18646877,0.0,0.0
2021-02-19,928.4155145358285,950.0574695218014,926.745509641073,938.9318237304688,23403483,0.0,0.0
2021-02-22,938.7963735267837,943.2646823971752,900.4095436576987,906.3446655273438,23804335,0.0,0.0
2021-02-23,924.3534067368045,926.5649977273687,908.8271426020757,913.2728881835938,25644108,0.0,0.0
2021-02-24,916.2292459832904,932.1391518608341,914.491550200775,930.220947265625,10807663,0.0,0.0
2021-02-25,936.9910577541981,971.2932222091624,935.637002954952,967.8404541015625,34855693,0.0,0.0
2021-02-26,955.4962007136306,963.123891576847,934.5989040579532,941.4142456054688,37481215,0.0,0.0
2021-03-01,952.4269850885058,953.2394537638484,930.897848571293,948.590576171875,17680764,0.0,0.0
2021-03-02,957.752856616694,961.3635697154016,942.9036206682259,950.5313110351562,17150760,0.0,0.0
2021-03-03,957.3241916036291,1001.9395950498023,951.0730591903954,993.9056396484375,31924461,0.0,0.0
2021-03-04,983.9308164628377,988.4216890350315,973.865839474236,982.0577392578125,21435754,0.0,0.0
2021-03-05,973.0985692708165,998.3512962856287,971.7670781260525,983.3440551757812,25511666,0.0,0.0
2021-03-08,978.7403169614485,1007.3555561541084,978.5146809764005,988.9407348632812,19506841,0.0,0.0
2021-03-09,992.9577540495018,999.1863226399736,968.8560080852714,988.918212890625,15154484,0.0,0.0
2021-03-10,996.1171267701603,999.7730267712369,979.5301951697431,984.8109130859375,11519358,0.0,0.0
2021-03-12,990.7010162557301,995.8463528292266,958.6104430105866,964.7938842773438,16864952,0.0,0.0
2021-03-15,965.899662068002,969.894016181107,939.022056998036,951.8402709960938,16698099,0.0,0.0
2021-03-16,954.142054646313,959.558213666829,945.7922099765842,948.0940551757812,13873801,0.0,0.0
2021-03-17,946.9431947370554,949.1773492874154,918.5310260738679,927.6707763671875,19210236,0.0,0.0
2021-03-18,935.5918936777657,940.9629260845496,903.1402423037733,906.796142578125,20647480,0.0,0.0
2021-03-19,898.6267780925764,945.9502287147974,894.9257507304794,939.6990966796875,41787429,0.0,0.0
2021-03-22,934.7343179799378,936.088313055874,917.6734905482226,930.8527221679688,18572478,0.0,0.0
2021-03-23,930.6496682735799,952.2013688377597,927.9641819762402,942.1815185546875,17421165,0.0,0.0
2021-03-24,938.6835185270156,938.6835185270156,920.9231603023551,924.0374145507812,16822814,0.0,0.0
2021-03-25,927.0614339788925,927.0614339788925,895.9186520687285,898.829833984375,22001648,0.0,0.0
2021-03-26,908.1049312659724,908.8722130154059,890.8184686126791,900.2741088867188,20180202,0.0,0.0
2021-03-30,906.2996230548414,924.7596332154852,898.8750045089173,915.9132690429688,20441701,0.0,0.0
2021-03-31,910.8130997767836,925.210945158364,902.2374989986004,904.0880126953125,16250796,0.0,0.0
2021-04-01,910.813084242052,916.2291839450849,904.1105608753422,912.5507202148438,11723312,0.0,0.0
2021-04-05,913.9499154284324,913.9724790288182,885.582933146535,899.3489379882812,14875099,0.0,0.0
2021-04-06,904.4942743627021,904.9230424620014,888.6971873373794,895.602783203125,14009194,0.0,0.0
2021-04-07,902.6889153894526,923.8569756395913,899.664915309728,903.9752197265625,24266353,0.0,0.0
2021-04-08,907.6536202120652,912.6183880971798,899.529411169469,905.103515625,15369188,0.0,0.0
2021-04-09,901.989335355401,905.5549215962554,893.6619935421585,894.5872802734375,14037885,0.0,0.0
2021-04-12,884.1836789732539,885.2669107795369,857.6672125480122,862.5868530273438,20901482,0.0,0.0
2021-04-13,868.3866470158723,875.8790157297038,865.6109063786529,871.9071655273438,19411189,0.0,0.0
2021-04-15,869.4248015602077,885.0864478844724,863.4219285584875,877.5490112304688,19723716,0.0,0.0
2021-04-16,874.0736236379038,880.0764962565872,869.492436882543,872.0425415039062,15656948,0.0,0.0
2021-04-19,859.3597599294095,864.9564280013587,853.0409372873982,858.3216552734375,18478808,0.0,0.0
2021-04-20,862.2934748740392,866.1298835841033,853.2440391612164,858.0734252929688,17203668,0.0,0.0
2021-04-22,854.0565402952617,864.0763909126439,847.038126173648,860.4430541992188,14490954,0.0,0.0
2021-04-23,860.2624793969826,866.084783440233,855.4556567138424,859.5177612304688,11828857,0.0,0.0
2021-04-26,866.5812978436229,885.5377655993291,862.7448293401166,874.6377563476562,20846778,0.0,0.0
2021-04-27,875.6081964100579,901.4250736005504,874.8183510247649,897.5661010742188,19992524,0.0,0.0
2021-04-28,901.7185351920124,906.2996626850728,893.729766581547,901.4702758789062,17122437,0.0,0.0
2021-04-29,913.0246799848917,922.7737675845348,905.9837618121402,913.5437622070312,17412606,0.0,0.0
2021-04-30,906.5253048610995,918.9372550182458,897.0696639164535,900.2064819335938,19828769,0.0,0.0
2021-05-03,887.3432392651409,893.2107311428475,877.0074973619427,884.2064208984375,23640186,0.0,0.0
2021-05-04,880.121561842195,888.1555160324492,862.5191497068099,865.046630859375,21849830,0.0,0.0
2021-05-05,868.0933987760891,874.9312446342352,861.1878024199247,866.6265258789062,12393609,0.0,0.0
2021-05-06,867.4163469186785,873.3515291463112,860.5333143582229,871.546142578125,14624666,0.0,0.0
2021-05-07,874.5926935213764,882.6717759114722,869.2894115930914,871.8846435546875,12288548,0.0,0.0
2021-05-10,875.1568139833493,878.6772726130321,867.0100416182049,869.3795776367188,13941237,0.0,0.0
2021-05-11,864.324640162575,874.9537675806936,862.0678622246373,872.5165405273438,13478264,0.0,0.0
2021-05-12,871.1398768410697,872.4036175039552,860.7138223730607,863.4895629882812,13177961,0.0,0.0
2021-05-14,870.2146050700743,876.5108642766377,860.2625054108522,874.3895874023438,13291616,0.0,0.0
2021-05-17,874.3895996285223,886.1922131252846,871.2752855358857,884.7930908203125,11873078,0.0,0.0
2021-05-18,894.1133650520243,903.8623926091062,890.2768962963072,897.2501831054688,12064918,0.0,0.0
2021-05-19,893.6619198826413,910.1134700489604,890.0512067367108,901.3573608398438,16317002,0.0,0.0
2021-05-20,901.7410386469029,907.6085298258828,894.1133478678807,896.0992431640625,11422532,0.0,0.0
2021-05-21,899.0780871843959,907.0217278069957,896.3700373777015,903.8397827148438,10785605,0.0,0.0
2021-05-24,906.2995769189343,907.1120455871035,894.5646545808229,896.2120361328125,8551760,0.0,0.0
2021-05-25,901.0640055897504,901.3348284850034,884.6350781454706,886.0568237304688,14780102,0.0,0.0
2021-05-26,891.4051749417887,893.4362569865272,887.0271801611135,889.1710205078125,7480204,0.0,0.0
2021-05-27,889.283937975624,899.5294239766795,885.6506014850115,891.9017333984375,26819294,0.0,0.0
2021-05-28,898.1754320907405,950.0800090423911,898.1754320907405,945.476318359375,56469931,0.0,0.0
2021-05-31,948.7259715836556,989.2115769657272,941.0757172389948,975.0393676757812,59124142,0.0,0.0
2021-06-01,977.6120318921522,993.860450495012,968.8107952002592,978.9209594726562,28013832,0.0,0.0
2021-06-02,973.5499623771119,997.2455637461187,973.5499623771119,993.52197265625,24630162,0.0,0.0
2021-06-03,1002.4358843892015,1015.5249208069228,991.1974809457165,997.3131713867188,23974257,0.0,0.0
2021-06-04,999.6376236399614,1000.38234182816,985.8490553582253,988.6699829101562,14468646,0.0,0.0
2021-06-07,993.8604848949419,1011.9142309078353,986.1876070242225,1005.3245849609375,16336573,0.0,0.0
2021-06-08,1004.9635226595291,1005.2117222594065,992.1227450436447,999.54736328125,9674735,0.0,0.0
2021-06-09,1001.5331405606394,1002.4358038379877,973.9785710074515,981.6740112304688,11409161,0.0,0.0
2021-06-10,989.9788572705107,1006.4980988117626,982.8250618353879,985.284912109375,14155653,0.0,0.0
2021-06-11,988.6745196444147,1009.1011338517071,987.4063134106076,1002.375244140625,13762778,3.5,0.0
2021-06-14,1003.2133236938203,1022.8019971914159,994.1775627019242,1016.7555541992188,20332436,0.0,0.0
2021-06-15,1024.0475051449755,1030.3430126999276,1014.6720508016263,1019.0653686523438,15174215,0.0,0.0
2021-06-16,1016.7554197633551,1017.7291568032897,999.0689384128791,1001.6732177734375,10797349,0.0,0.0
2021-06-17,996.419402245226,1012.2715613635339,987.315775310826,1003.507568359375,15745975,0.0,0.0
2021-06-18,1007.9688163777718,1012.2715649781592,989.331239663787,1008.0367431640625,29369026,0.0,0.0
2021-06-21,998.0046053152495,1017.9329096042337,996.4873342427861,1013.29052734375,12186448,0.0,0.0
2021-06-22,1020.8769459855561,1024.0474616919707,1005.1833424900376,1008.08203125,12871913,0.0,0.0
2021-06-23,1019.0653035968686,1019.3370107371757,997.1893446925246,998.842529296875,16653951,0.0,0.0
